Feature,Importance
A5,0.14549784714011682
A9,0.12670276989784693
A6,0.11568639908455923
A7,0.10357289120951543
A1,0.08225091199999283
A2,0.07812077112212512
A4,0.07144211185664329
A8,0.0678892727505907
Age_Mons,0.045592271637300806
A3,0.041541376745375835
A10,0.03072748958754447
Jaundice,0.0147660095913664
Ethnicity_middle eastern,0.012591707163215539
Sex,0.011619823366258494
Ethnicity_asian,0.011128961758691065
Ethnicity_white european,0.010196413784916364
Family_mem_with_ASD,0.009398886161554263
Ethnicity_south asian,0.008864234513243899
Ethnicity_hispanic,0.004842145591174254
Ethnicity_black,0.0024231479191592653
Ethnicity_latino,0.002353005925464032
Ethnicity_others,0.002324451116635007
Ethnicity_mixed,0.00040582605059761033
Ethnicity_native indian,5.947363708147801e-05
Ethnicity_pacifica,1.8003890309659345e-06
