Feature,Importance
Skin darkening (Y/N),32.96891784667969
Weight gain(Y/N),28.94053077697754
hair growth(Y/N),23.33882713317871
Cycle length(days),11.757845878601074
Fast food (Y/N),9.539087295532227
Reg.Exercise(Y/N),7.766552448272705
Pimples(Y/N),7.025197505950928
Hair loss(Y/N),6.847291946411133
 Age (yrs),6.793602466583252
Weight (Kg),5.845907688140869
Height(Cm) ,5.346432209014893
Marraige Status (Yrs),5.2381720542907715
BMI,5.083442687988281
Hb(g/dl),5.057519912719727
RR (breaths/min),4.888416767120361
No. of aborptions,2.814826488494873
Pulse rate(bpm) ,2.54166316986084
